ngram_decoded,count,p_ngram,pmi,entropy_reduction,internal_entropy,frequency_norm,pmi_norm,entropy_reduction_norm,internal_entropy_norm,composite_score
262 33 39,58805,0.0004944938045488873,3.878265049633752,4.301951988514709,0.8253706748663531,0.4392959538391173,0.12982751425287156,0.8390250177229753,0.20762668598002265,0.46708362612304194
271 63 39,56648,0.00047635549766321514,5.335863554977942,4.175167187744695,0.9521554756363672,0.43547580866109215,0.1466423315091056,0.8142977264847038,0.23952012345982882,0.46646175783117005
262 12 39 272 39 36 44,6693,0.00005628172831979768,20.733436474047473,4.504029734113298,0.6232929292677639,0.21714557942971172,0.3242683196494783,0.8784369601470035,0.15679288014394427,0.4663253428428404
267 21 264 283,23538,0.00019793206651597158,11.757720151362792,4.293824488256552,0.8334981751245101,0.34569822862719773,0.22072469693280905,0.8374398824015331,0.20967120487957788,0.466160370962475
277 21 264,82734,0.0006957138070835412,7.053633459542734,3.6840574290495294,1.443265234331533,0.47419573527360614,0.16645847904741212,0.7185148411588721,0.36306157550722173,0.466102984311943
286 21 39 263 51,18708,0.00015731638628518974,11.33995356180047,4.518656712165384,0.608665951215679,0.32222088095616735,0.21590535276259,0.8812897117704872,0.1531133806519752,0.4659499646471561
51 33 71 21 63 290 65 71,4462,0.00003752115221319845,28.046988625558253,4.132672177045913,0.9946504863351493,0.17569716718739448,0.40863726107656345,0.8060097732021304,0.25020998501021935,0.465718525438268
262 21 12,58266,0.0004899613300883508,2.167170974191138,4.418638107128706,0.7086845562523563,0.43835465632267734,0.11008837890023326,0.8617827270139004,0.1782736294135061,0.4654757576726187
307 263 51 13,100875,0.0008482622656894652,10.677009641627121,3.1251064775479054,2.002216185833157,0.4944618669159792,0.20825764948354883,0.6095006463835739,0.5036688653221334,0.4645554351324529
332 263 51 13,28824,0.00024238227059462846,10.80719579019829,4.140209287763136,0.9871133756179271,0.3664080909259483,0.20975947340110296,0.8074797627487317,0.24831398195639784,0.4639069053372785
39 19 39 263,36341,0.0003055930507798846,8.027483265370792,4.203476206041218,0.9238464573398448,0.39009738143506634,0.1776927842830305,0.8198189351456495,0.23239882895393119,0.46374399307359115
282 21 261 12 279 13,11282,0.00009487082906080344,17.19233654420387,4.294472166966085,0.8328504964149772,0.2705216553326174,0.28341828585205536,0.8375662014869611,0.20950827761776075,0.4630593974592687
262 12 39 281 39 13 39,12746,0.00010718166878292862,16.23338897271562,4.279366253018616,0.8479564103624464,0.2829939436638744,0.27235589239201485,0.8346200412900704,0.2133082561572458,0.46295071188908377
300 263 51 13 71 21,14368,0.00012082113738216839,16.655946966573467,4.12732511348896,0.9999975498921019,0.2952389926644615,0.27723051007365335,0.8049669163530498,0.2515550692491698,0.4625890567954716
51 33 39 12 277 21 276,5445,0.00004578724199929753,21.99599820453534,4.432507977470077,0.6948146859109862,0.19605010529205089,0.33883319790301014,0.864487817224124,0.17478458467076965,0.46250924952782413
